,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
781,Steve Ontiveros,B,72,185,0.274,24,Low home run hitter (under 25 HR),25.08777006,25,4.898979486
782,Willie Davis,L,74,180,0.279,182,Big home run hitter (over 200 HR),23.10810811,23,13.49073756
783,Tom Lawless,R,71,170,0.207,2,Low home run hitter (under 25 HR),23.7075977,23,1.414213562
784,Jerry Moses,R,75,210,0.251,25,Mid home run hitter (25-100 HR),26.24533333,26,5
785,Bobby Bonds,R,73,190,0.268,332,Big home run hitter (over 200 HR),25.0647401,25,18.22086716
786,Dave McNally,R,71,185,0.133,9,Low home run hitter (under 25 HR),25.79944455,25,3
787,Darrell Brown,B,72,184,0.274,1,Low home run hitter (under 25 HR),24.95216049,24,1
788,Roy Foster,R,72,185,0.253,45,Mid home run hitter (25-100 HR),25.08777006,25,6.708203933
789,Denis Menke,R,72,185,0.25,101,Big home run hitter (over 200 HR),25.08777006,25,10.04987562
790,Hal Breeden,R,74,200,0.243,21,Low home run hitter (under 25 HR),25.67567568,25,4.582575695
792,Jackie Gutierrez,R,71,175,0.237,4,Low home run hitter (under 25 HR),24.40487998,24,2
793,Jerry Kenney,L,73,170,0.237,7,Low home run hitter (under 25 HR),22.42634641,22,2.645751311
794,Fred Kendall,R,73,185,0.234,31,Mid home run hitter (25-100 HR),24.40514168,24,5.567764363
795,Mike Anderson,R,74,200,0.246,28,Mid home run hitter (25-100 HR),25.67567568,25,5.291502622
796,Joe Charboneau,R,74,205,0.266,29,Mid home run hitter (25-100 HR),26.31756757,26,5.385164807
797,Jimmie Schaffer,R,69,170,0.223,11,Low home run hitter (under 25 HR),25.10186936,25,3.31662479
798,Junior Kennedy,R,71,175,0.248,4,Low home run hitter (under 25 HR),24.40487998,24,2
799,Wilbur Howard,B,74,170,0.25,6,Low home run hitter (under 25 HR),21.82432432,21,2.449489743
800,Rod Gilbreath,R,74,180,0.248,14,Low home run hitter (under 25 HR),23.10810811,23,3.741657387
801,Mark Brouhard,R,73,210,0.259,25,Mid home run hitter (25-100 HR),27.7031338,27,5
802,Mike Young,B,74,195,0.247,72,Mid home run hitter (25-100 HR),25.03378378,25,8.485281374
803,Chris Speier,R,73,175,0.246,112,Big home run hitter (over 200 HR),23.08594483,23,10.58300524
804,Gene Michael,B,74,183,0.229,15,Low home run hitter (under 25 HR),23.49324324,23,3.872983346
805,Vic Harris,B,71,165,0.217,13,Low home run hitter (under 25 HR),23.01031541,23,3.605551275
806,Mike Fischlin,R,73,165,0.22,3,Low home run hitter (under 25 HR),21.76674798,21,1.732050808
807,Don Money,R,73,170,0.261,176,Big home run hitter (over 200 HR),22.42634641,22,13.26649916
